years_experience,education_score,skills_match,previous_company_tier,ethnicity,gender,hired
6.490142459033698,5.6496434500512365,0.5273012790070132,2,White,Male,1
4.585207096486446,6.710962658568964,0.6937593022121832,2,Black,Male,0
6.9430656143020775,5.415160158000077,0.7036033744088893,2,Black,Female,0
9.569089569224076,6.384076940721919,0.7945260691686811,1,White,Male,1
4.297539875829992,3.2127706660924287,0.42662832734383466,3,Hispanic,Male,0
4.297589129152458,7.426587414745877,0.8185134547694661,2,White,Female,0
9.737638446522174,7.002410950724449,0.15912167367944485,2,Asian,Male,1
7.302304187458726,5.365822737863619,0.5740230895272379,2,Hispanic,Female,0
3.5915768421951437,8.31849133686481,0.602345231509691,2,Black,Male,0
6.627680130757894,8.875140275253116,0.8266653652142477,3,Hispanic,Male,0
3.6097469215626132,3.7848802712620517,0.7045261705353738,3,Black,Female,0
3.6028107392892297,5.474550442867572,0.41888738922874263,2,White,Male,0
5.725886814698102,5.4617153004254035,0.5030013748365969,3,White,Female,0
0.0,5.120193797782271,0.7397360019094813,2,White,Male,0
0.0,8.658949683863497,0.6841865316270886,1,White,Male,0
3.313137412277082,6.612347722454393,0.5841751780728507,2,Black,Male,0
1.9615066389967284,6.470970317378779,0.603833242097604,2,White,Male,0
5.942741997785822,2.992275271186493,0.8392335994318578,2,White,Male,0
2.275927773436367,8.270836060418453,0.596461485426157,3,White,Female,0
0.7630888959941258,4.521483210293055,0.6823817511941853,2,Hispanic,Male,0
9.396946306764661,7.119865260532657,1.0,3,White,Male,1
4.322671098540393,7.554753875916384,0.41526347262321534,3,White,Male,0
5.202584614063771,9.721317191677302,0.3296314536850682,2,White,Female,1
0.7257554413596292,4.382359201761776,0.8567179329597213,2,Black,Female,0
3.366851826424452,1.0,0.5642713877411794,2,White,Female,0
5.332767769129598,7.36769908950739,0.6363524944514759,3,Black,Female,0
1.5470192677330914,10.0,0.5437687243737771,2,White,Male,1
6.127094055037016,9.477892705878874,0.6480399718464974,1,White,Male,1
3.198083930243585,7.419318830549251,1.0,2,Hispanic,Female,0
4.12491875062017,6.0167276287359055,0.8604256917236238,2,White,Female,1
3.1948801633118094,8.61424519327462,0.8724447023773954,1,White,Male,1
10.556834553526812,5.0529076005910625,0.4167545888414708,1,White,Male,1
4.9595083257861985,7.952715538712439,0.4697692526894261,2,White,Female,1
1.826867213132299,8.010940318333255,0.1321842681029145,2,White,Female,0
7.4676347363095665,9.12041981499776,0.5381238357834491,2,White,Male,1
1.3374690500869333,10.0,0.8913406372771316,2,White,Female,1
5.626590785014266,7.784831934357534,0.8033893031496742,1,White,Male,1
0.0,5.9820727485850025,0.6556973474095752,2,Black,Male,0
1.0154418533047087,6.9488513756160115,0.6955399432563893,2,Hispanic,Male,0
5.590583707607371,3.4618481902217635,0.5622228914849188,2,White,Male,0
7.215399739986231,5.610573737821884,0.7409517764803568,2,White,Male,1
5.514104843569911,6.181435123773792,0.853175655896123,2,White,Female,1
4.653055152835279,5.951823204130815,0.37682264251790537,1,White,Male,0
4.096688913232134,7.304709744067444,0.7599295375674696,1,White,Female,0
0.5644340288977183,5.355160135235598,0.8864869741909334,1,White,Male,0
2.840467374815874,9.242061334648943,0.616979942207326,3,White,Male,1
3.618083687120637,7.000414129836394,0.8401401224241167,3,White,Female,1
8.171366678656748,6.981399357722771,1.0,3,White,Female,1
6.030854868705385,6.344210566974164,0.6791314414026216,3,Hispanic,Female,0
0.0,7.310381367717958,0.7786614100010647,2,White,Female,0
5.972251908184385,8.65019652933527,0.5523885832677217,2,Black,Male,0
3.8447531587510504,5.2657395685782,0.73625023252041,2,Hispanic,Male,0
2.9692339990821237,5.683767021849487,0.7920543249964607,1,White,Female,0
6.835028866522604,6.3925479424466705,0.7389684680540276,2,White,Female,1
8.092998567487854,4.30825815305357,0.4960609360582286,3,White,Female,1
7.7938403573485955,5.361484280557004,0.7412723542650901,2,White,Female,1
2.4823474303320845,6.047558252910682,0.9924391877435274,2,White,Female,0
4.072362872446356,8.748778361425455,0.7897271529029054,2,Black,Male,0
5.993790294210692,7.52512265800385,0.8923974378143682,2,White,Female,0
7.926635381367078,7.387179822735089,0.6525976059974744,2,White,Female,1
3.56247728646413,8.701795924335944,0.8499800478847421,3,Black,Female,0
4.4430230700085485,6.725256423201206,0.7558535676433051,2,Hispanic,Male,0
1.6809950779819154,7.780929699857779,0.5098178540625535,3,White,Male,0
1.4113801277579876,6.793556494135007,0.7637042009597749,2,Black,Male,0
7.437577467182594,7.530724698799257,0.5016606673119378,3,White,Male,1
9.068720085712469,5.834482684776836,0.5734239450230416,2,White,Female,1
4.783969635258998,2.122365683447142,0.7378656614584748,2,White,Male,0
8.010598693676073,6.731441675627392,0.7594488546760247,2,White,Male,1
6.084908075142902,9.845496272199881,0.46215350698457414,3,Hispanic,Male,0
3.0646407361846273,8.852430804483184,0.9107971542365751,3,White,Female,0
6.084186816525242,8.930794969182342,0.8144012556600946,1,White,Female,1
9.614109699397908,9.472261443612435,0.5590543128778231,1,White,Male,1
4.892521882670145,7.177315181922875,0.3924830407101649,3,White,Male,0
9.693930967442018,7.394631414811191,0.6710190841837137,2,White,Male,1
0.0,5.7646962091313,0.610811257227768,2,White,Male,0
7.465707513125672,6.3678542879459,0.7226280914106045,2,Hispanic,Male,0
5.261141204714514,8.231542299542284,0.6273766677688867,1,White,Female,1
4.102977948602398,9.407768874337632,0.29850862785099797,3,White,Male,1
5.275282329606507,6.721107448638001,0.6223306123397683,3,White,Male,1
0.0,6.099621470297177,0.6388761777863373,2,White,Female,0
4.340984336487464,7.001055917713194,0.8267322049548117,2,White,Male,1
6.07133771453524,8.20241349785823,0.56036006507779,3,Hispanic,Female,0
9.433682134224547,4.112290367732916,1.0,1,Asian,Male,0
3.445189345179058,2.4076380937255237,0.3176718898696485,3,White,Female,0
2.5745191913204373,5.898926301016833,0.9622334995605248,2,White,Female,0
3.4947288692463903,4.558575148171682,0.655136205824379,2,Hispanic,Female,0
7.746206353106222,5.983719604705378,0.8719169744687112,3,White,Male,1
5.986253328979053,6.704439362365057,0.7159602968117466,2,White,Male,1
3.4107193886988836,6.093503181953973,0.9279111072050938,2,White,Male,0
6.539802299340068,9.90493506894149,0.6225276070894377,2,Black,Female,0
5.291232648044121,7.65348952920464,0.4802759149644375,2,White,Female,0
7.9059349715986675,7.600948719221657,0.9841008574542126,2,Hispanic,Male,0
